Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","100nF","C_0603_HandSoldering",153.200000,-84.750000,0.000000,top
"C4","100nF","C_0603_HandSoldering",148.950000,-71.500000,180.000000,top
"C5","22uF","C_0805_HandSoldering",142.500000,-72.000000,180.000000,top
"C6","22uF","C_0805_HandSoldering",142.500000,-80.000000,0.000000,top
"C7","10n","C_0805_HandSoldering",200.250000,-82.500000,270.000000,top
"C8","100n","C_0603_HandSoldering",194.450000,-80.750000,180.000000,top
"C9","100n","C_0603_HandSoldering",189.500000,-93.000000,0.000000,top
"D1","LED","LED_0805_HandSoldering",182.000000,-72.850000,90.000000,top
"D2","LED","LED_0805_HandSoldering",179.500000,-72.850000,90.000000,top
"D3","LED","LED_0805_HandSoldering",177.000000,-72.850000,90.000000,top
"D4","LED","LED_0805_HandSoldering",184.500000,-72.850000,90.000000,top
"FB1","Ferrite_Bead","R_0805_HandSoldering",202.250000,-82.500000,270.000000,top
"J7","USB_B","USB_Mini-B",197.750000,-75.750000,270.000000,top
"R1","6.8k","R_0603_HandSoldering",141.750000,-83.500000,0.000000,top
"R2","6.8k","R_0603_HandSoldering",123.900000,-79.500000,180.000000,top
"R3","10k","R_0603_HandSoldering",152.900000,-71.500000,0.000000,top
"R4","10k","R_0603_HandSoldering",173.400000,-86.500000,0.000000,top
"R5","10k","R_0603_HandSoldering",178.400000,-86.500000,0.000000,top
"R6","10k","R_0603_HandSoldering",183.400000,-86.500000,0.000000,top
"R7","10k","R_0603_HandSoldering",158.900000,-86.500000,0.000000,top
"R8","10k","R_0603_HandSoldering",163.400000,-86.500000,0.000000,top
"R9","330","R_0603_HandSoldering",182.000000,-82.600000,270.000000,top
"R10","330","R_0603_HandSoldering",179.500000,-82.600000,270.000000,top
"R11","330","R_0603_HandSoldering",177.000000,-82.600000,270.000000,top
"R12","10k","R_0603_HandSoldering",158.900000,-84.500000,180.000000,top
"R13","10k","R_0603_HandSoldering",169.100000,-86.500000,180.000000,top
"R14","1k","R_0603_HandSoldering",188.600000,-78.750000,0.000000,top
"R15","1k","R_0603_HandSoldering",188.600000,-77.000000,0.000000,top
"R16","330","R_0603_HandSoldering",184.500000,-82.600000,270.000000,top
"U2","ATmega328P-PU","TQFP-32_7x7mm_Pitch0.8mm",151.000000,-78.000000,180.000000,top
"U3","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",193.500000,-86.400000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4pin_3.2x2.5mm_HandSoldering",142.650000,-75.950000,90.000000,top
